,type,typicality_score,dir,top5_labels,label,7_score
97,Lighthouse,89.7,Image/All_Cropped\Lighthouse\11.jpg,"{'beacon': 0.8970643281936646, 'breakwater': 0.04918927699327469, 'monastery': 0.012826075777411461, 'bell cote': 0.010140978731215, 'thatch': 0.005065514240413904}",beacon,6.3
98,Lighthouse,87.7,Image/All_Cropped\Lighthouse\12.jpg,"{'beacon': 0.8765575885772705, 'water bottle': 0.012584224343299866, 'pedestal': 0.011048526503145695, 'missile': 0.010297411121428013, 'projectile': 0.00652262894436717}",beacon,6.1
99,Lighthouse,39.7,Image/All_Cropped\Lighthouse\13.jpg,"{'fireboat': 0.3966450095176697, 'dock': 0.34262824058532715, 'drilling platform': 0.051076363772153854, 'pirate': 0.03283155709505081, 'wreck': 0.025036578997969627}",fireboat,2.8
100,Lighthouse,39.2,Image/All_Cropped\Lighthouse\14.jpg,"{'beacon': 0.39236196875572205, 'breakwater': 0.2054595947265625, 'bell cote': 0.16790904104709625, 'container ship': 0.0761394053697586, 'drilling platform': 0.019739916548132896}",beacon,2.7
101,Lighthouse,58.7,Image/All_Cropped\Lighthouse\15.jpg,"{'beacon': 0.586906373500824, 'picket fence': 0.1736433058977127, 'dome': 0.0851738378405571, 'tile roof': 0.07677970081567764, 'water tower': 0.0239028949290514}",beacon,4.1
102,Lighthouse,67.0,Image/All_Cropped\Lighthouse\16.jpg,"{'totem pole': 0.6703425049781799, 'maypole': 0.11938317865133286, 'pedestal': 0.059745557606220245, 'pole': 0.057053498923778534, 'crane': 0.005924691911786795}",totem pole,4.7
103,Lighthouse,91.5,Image/All_Cropped\Lighthouse\2.jpg,"{'beacon': 0.9154971837997437, 'breakwater': 0.055281247943639755, 'castle': 0.021370867267251015, 'church': 0.0016085574170574546, 'monastery': 0.0013877307064831257}",beacon,6.4
104,Lighthouse,34.7,Image/All_Cropped\Lighthouse\3.jpg,"{'breakwater': 0.34668809175491333, 'beacon': 0.15240252017974854, 'castle': 0.12194852530956268, 'monastery': 0.07055597752332687, 'submarine': 0.0560598187148571}",breakwater,2.4
105,Lighthouse,80.2,Image/All_Cropped\Lighthouse\4.jpg,"{'beacon': 0.8017717003822327, 'water tower': 0.10177598148584366, 'mosque': 0.06570117175579071, 'coil': 0.0036430906038731337, 'pedestal': 0.00363161601126194}",beacon,5.6
106,Lighthouse,99.7,Image/All_Cropped\Lighthouse\5.jpg,"{'beacon': 0.9966848492622375, 'breakwater': 0.00320178410038352, 'missile': 3.792719871853478e-05, 'projectile': 2.2521435312228277e-05, 'water tower': 1.537641219329089e-05}",beacon,7.0
107,Lighthouse,91.1,Image/All_Cropped\Lighthouse\6.jpg,"{'beacon': 0.9112119674682617, 'mosque': 0.026994865387678146, 'breakwater': 0.010203220881521702, 'screw': 0.005498751997947693, 'promontory': 0.005491923540830612}",beacon,6.4
108,Lighthouse,10.8,Image/All_Cropped\Lighthouse\7.jpg,"{'pier': 0.10816984623670578, 'promontory': 0.10306136310100555, 'lakeside': 0.09491977840662003, 'boathouse': 0.06451316922903061, 'dam': 0.06422281265258789}",pier,0.8
109,Lighthouse,16.9,Image/All_Cropped\Lighthouse\8.jpg,"{'fireboat': 0.16932731866836548, 'wreck': 0.10542236268520355, 'drilling platform': 0.0940297394990921, 'pier': 0.07693147659301758, 'dock': 0.07075408101081848}",fireboat,1.2
110,Lighthouse,35.9,Image/All_Cropped\Lighthouse\9.jpg,"{'beacon': 0.3594302833080292, 'pedestal': 0.06474210321903229, 'totem pole': 0.06364968419075012, 'pole': 0.030518095940351486, 'missile': 0.029366901144385338}",beacon,2.5
111,Church,44.9,Image/All_Cropped\Church\1.jpg,"{'greenhouse': 0.4488215744495392, 'barn': 0.252701073884964, 'dome': 0.13027739524841309, 'church': 0.046936776489019394, 'boathouse': 0.03210835158824921}",greenhouse,3.1
112,Church,47.9,Image/All_Cropped\Church\10.jpg,"{'church': 0.4792177379131317, 'bell cote': 0.19410958886146545, 'palace': 0.1039867028594017, 'monastery': 0.08660303801298141, 'dome': 0.050055257976055145}",church,3.4
113,Church,13.8,Image/All_Cropped\Church\11.jpg,"{'prison': 0.13828778266906738, 'water tower': 0.10694432258605957, 'barn': 0.10037305951118469, 'cinema': 0.06567557156085968, 'monastery': 0.06500651687383652}",prison,1.0
114,Church,54.4,Image/All_Cropped\Church\12.jpg,"{'dome': 0.5437486171722412, 'church': 0.3330894410610199, 'monastery': 0.07037834078073502, 'mosque': 0.05017104372382164, 'castle': 0.0009444960160180926}",dome,3.8
115,Church,35.3,Image/All_Cropped\Church\13.jpg,"{'church': 0.3529898226261139, 'monastery': 0.26777276396751404, 'bell cote': 0.20926761627197266, 'barn': 0.06426969170570374, 'castle': 0.038134895265102386}",church,2.5
116,Church,83.6,Image/All_Cropped\Church\14.jpg,"{'palace': 0.8357577323913574, 'gondola': 0.025689927861094475, 'monastery': 0.024352630600333214, 'mosque': 0.010762755759060383, 'castle': 0.010193889029324055}",palace,5.9
117,Church,10.4,Image/All_Cropped\Church\15.jpg,"{'stupa': 0.10431669652462006, 'pedestal': 0.09247347712516785, 'half track': 0.08986403048038483, 'worm fence': 0.07180207967758179, 'amphibian': 0.05649061128497124}",stupa,0.7
118,Church,29.2,Image/All_Cropped\Church\16.jpg,"{'monastery': 0.29216399788856506, 'palace': 0.23369643092155457, 'church': 0.17293676733970642, 'bell cote': 0.11487675458192825, 'triumphal arch': 0.05049751698970795}",monastery,2.0
119,Church,45.7,Image/All_Cropped\Church\2.jpg,"{'church': 0.45694783329963684, 'monastery': 0.21213115751743317, 'castle': 0.1980939656496048, 'bell cote': 0.0942201018333435, 'beacon': 0.00878174789249897}",church,3.2
120,Church,63.4,Image/All_Cropped\Church\3.jpg,"{'monastery': 0.6344331502914429, 'bell cote': 0.10091972351074219, 'church': 0.06280187517404556, 'beacon': 0.04242519661784172, 'palace': 0.02088901773095131}",monastery,4.4
121,Church,66.6,Image/All_Cropped\Church\4.jpg,"{'church': 0.6656270623207092, 'bell cote': 0.15473231673240662, 'beacon': 0.061272185295820236, 'monastery': 0.020331334322690964, 'boathouse': 0.016550345346331596}",church,4.7
122,Church,65.5,Image/All_Cropped\Church\5.jpg,"{'church': 0.6553245186805725, 'bell cote': 0.17594307661056519, 'monastery': 0.11571909487247467, 'castle': 0.023510992527008057, 'palace': 0.0060732001438736916}",church,4.6
123,Church,98.3,Image/All_Cropped\Church\6.jpg,"{'barn': 0.9828546047210693, 'boathouse': 0.005315382499247789, 'church': 0.0051125772297382355, 'bell cote': 0.0018004485173150897, 'picket fence': 0.000971493253018707}",barn,6.9
124,Church,43.8,Image/All_Cropped\Church\7.jpg,"{'church': 0.4384426772594452, 'monastery': 0.2997913956642151, 'beacon': 0.13191494345664978, 'bell cote': 0.0643366351723671, 'dome': 0.020675862208008766}",church,3.1
125,Church,74.8,Image/All_Cropped\Church\8.jpg,"{'church': 0.7483803033828735, 'barn': 0.09382464736700058, 'picket fence': 0.06806367635726929, 'boathouse': 0.029715225100517273, 'birdhouse': 0.02510136552155018}",church,5.2
126,Church,43.6,Image/All_Cropped\Church\9.jpg,"{'church': 0.4355867803096771, 'palace': 0.22498919069766998, 'monastery': 0.08705814182758331, 'castle': 0.07742985337972641, 'dome': 0.04677553474903107}",church,3.1
