,type,dir,prob,id_label,readable_label
34,Mug,../Image/All_Cropped\Mug\11.jpg,0.06382580101490021,03063599-n,coffee mug
35,Mug,../Image/All_Cropped\Mug\12.jpg,0.095048688352108,03063599-n,coffee mug
36,Mug,../Image/All_Cropped\Mug\13.jpg,0.04898032546043396,03063599-n,coffee mug
37,Mug,../Image/All_Cropped\Mug\14.jpg,0.11847701668739319,03063599-n,coffee mug
38,Mug,../Image/All_Cropped\Mug\15.jpg,0.20588524639606476,03063599-n,coffee mug
39,Mug,../Image/All_Cropped\Mug\16.jpg,0.15886391699314117,03063599-n,coffee mug
40,Mug,../Image/All_Cropped\Mug\2.jpeg,0.23079971969127655,03063599-n,coffee mug
41,Mug,../Image/All_Cropped\Mug\3.jpg,0.0018148847157135606,03063599-n,coffee mug
42,Mug,../Image/All_Cropped\Mug\4.jpg,0.05223788321018219,03063599-n,coffee mug
43,Mug,../Image/All_Cropped\Mug\5.jpg,0.1192808449268341,03063599-n,coffee mug
44,Mug,../Image/All_Cropped\Mug\6.jpg,0.11574314534664154,03063599-n,coffee mug
45,Mug,../Image/All_Cropped\Mug\7.jpg,0.03743886202573776,03063599-n,coffee mug
46,Mug,../Image/All_Cropped\Mug\8.jpg,0.4565552771091461,03063599-n,coffee mug
47,Mug,../Image/All_Cropped\Mug\9.jpeg,0.06625403463840485,03063599-n,coffee mug
48,Banana,../Image/All_Cropped\Banana\1.jpg,0.9984205961227417,07753592-n,banana
49,Banana,../Image/All_Cropped\Banana\10.jpg,0.5690057277679443,07753592-n,banana
50,Banana,../Image/All_Cropped\Banana\11.jpg,0.22560974955558777,07753592-n,banana
51,Banana,../Image/All_Cropped\Banana\12.jpg,0.016382481902837753,07753592-n,banana
52,Banana,../Image/All_Cropped\Banana\13.jpg,0.5260812640190125,07753592-n,banana
53,Banana,../Image/All_Cropped\Banana\14.jpg,0.004110722802579403,07753592-n,banana
54,Banana,../Image/All_Cropped\Banana\15.jpg,0.04987586289644241,07753592-n,banana
55,Banana,../Image/All_Cropped\Banana\16.jpg,0.012788333930075169,07753592-n,banana
56,Banana,../Image/All_Cropped\Banana\2.jpg,0.0008565991302020848,07753592-n,banana
57,Banana,../Image/All_Cropped\Banana\3.jpg,0.12806031107902527,07753592-n,banana
58,Banana,../Image/All_Cropped\Banana\4.jpg,0.19642756879329681,07753592-n,banana
59,Banana,../Image/All_Cropped\Banana\5.jpg,0.9906807541847229,07753592-n,banana
60,Banana,../Image/All_Cropped\Banana\6.jpg,0.7611423134803772,07753592-n,banana
61,Banana,../Image/All_Cropped\Banana\7.jpg,0.9999209642410278,07753592-n,banana
62,Banana,../Image/All_Cropped\Banana\8.jpg,0.9098744988441467,07753592-n,banana
63,Banana,../Image/All_Cropped\Banana\9.jpg,0.042389824986457825,07753592-n,banana
64,Car,../Image/All_Cropped\Car\1.jpg,0.22762422263622284,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
65,Car,../Image/All_Cropped\Car\10.jpg,0.06947669386863708,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
66,Car,../Image/All_Cropped\Car\11.jpg,0.03633907809853554,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
67,Car,../Image/All_Cropped\Car\12.jpg,0.13815005123615265,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
68,Car,../Image/All_Cropped\Car\13.jpg,0.005051768384873867,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
69,Car,../Image/All_Cropped\Car\14.jpg,0.152864009141922,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
70,Car,../Image/All_Cropped\Car\15.jpg,0.0010608653537929058,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
71,Car,../Image/All_Cropped\Car\16.jpg,0.010578494518995285,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
72,Car,../Image/All_Cropped\Car\2.jpg,0.07966361939907074,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
73,Car,../Image/All_Cropped\Car\3.jpg,0.01597275212407112,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
74,Car,../Image/All_Cropped\Car\4.jpg,0.01359940879046917,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
75,Car,../Image/All_Cropped\Car\5.jpg,0.05701928958296776,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
76,Car,../Image/All_Cropped\Car\6.jpg,0.012801101431250572,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
77,Car,../Image/All_Cropped\Car\7.jpg,0.04859291762113571,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
78,Car,../Image/All_Cropped\Car\8.jpg,0.09951100498437881,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
79,Car,../Image/All_Cropped\Car\9.jpg,0.22219069302082062,02814533-n,"beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"
80,Plane,../Image/All_Cropped\Plane\1.jpg,0.7502120137214661,02690373-n,airliner
81,Plane,../Image/All_Cropped\Plane\10.jpg,0.648200511932373,02690373-n,airliner
82,Plane,../Image/All_Cropped\Plane\11.jpg,0.057746194303035736,02690373-n,airliner
83,Plane,../Image/All_Cropped\Plane\12.jpg,0.06190956383943558,02690373-n,airliner
84,Plane,../Image/All_Cropped\Plane\13.jpg,0.09308773279190063,02690373-n,airliner
85,Plane,../Image/All_Cropped\Plane\14.jpg,0.0007646229933016002,02690373-n,airliner
86,Plane,../Image/All_Cropped\Plane\15.jpg,0.004164908546954393,02690373-n,airliner
87,Plane,../Image/All_Cropped\Plane\16.jpg,0.025968702509999275,02690373-n,airliner
88,Plane,../Image/All_Cropped\Plane\2.jpg,0.5969975590705872,02690373-n,airliner
89,Plane,../Image/All_Cropped\Plane\3.jpg,0.010308750905096531,02690373-n,airliner
90,Plane,../Image/All_Cropped\Plane\4.jpg,0.022071540355682373,02690373-n,airliner
91,Plane,../Image/All_Cropped\Plane\5.jpg,0.1487191766500473,02690373-n,airliner
92,Plane,../Image/All_Cropped\Plane\6.jpg,0.12353040277957916,02690373-n,airliner
93,Plane,../Image/All_Cropped\Plane\7.jpg,0.5868782997131348,02690373-n,airliner
94,Plane,../Image/All_Cropped\Plane\8.jpg,0.01749170385301113,02690373-n,airliner
95,Plane,../Image/All_Cropped\Plane\9.jpg,0.4205170273780823,02690373-n,airliner
96,Lighthouse,../Image/All_Cropped\Lighthouse\1.jpg,0.3319229483604431,02814860-n,"beacon, lighthouse, beacon light, pharos"
97,Lighthouse,../Image/All_Cropped\Lighthouse\10.jpg,0.6041985750198364,02814860-n,"beacon, lighthouse, beacon light, pharos"
98,Lighthouse,../Image/All_Cropped\Lighthouse\11.jpg,0.7883210182189941,02814860-n,"beacon, lighthouse, beacon light, pharos"
