,type,dir,prob,id_label,readable_label
28,Beach,../Image/All_Cropped\Beach\6.jpg,0.21961714327335358,09428293-n,"seashore, coast, seacoast, sea-coast"
29,Beach,../Image/All_Cropped\Beach\7.jpg,0.46952569484710693,09428293-n,"seashore, coast, seacoast, sea-coast"
30,Beach,../Image/All_Cropped\Beach\8.jpg,0.22529076039791107,09428293-n,"seashore, coast, seacoast, sea-coast"
31,Beach,../Image/All_Cropped\Beach\9.jpg,0.3773972988128662,09428293-n,"seashore, coast, seacoast, sea-coast"
32,Mug,../Image/All_Cropped\Mug\1.jpg,0.05900674685835838,03063599-n,coffee mug
33,Mug,../Image/All_Cropped\Mug\10.jpg,0.02618008852005005,03063599-n,coffee mug
34,Mug,../Image/All_Cropped\Mug\11.jpg,0.012616023421287537,03063599-n,coffee mug
35,Mug,../Image/All_Cropped\Mug\12.jpg,0.02003554068505764,03063599-n,coffee mug
36,Mug,../Image/All_Cropped\Mug\13.jpg,0.03192529082298279,03063599-n,coffee mug
37,Mug,../Image/All_Cropped\Mug\14.jpg,0.02401622198522091,03063599-n,coffee mug
38,Mug,../Image/All_Cropped\Mug\15.jpg,0.1470121145248413,03063599-n,coffee mug
39,Mug,../Image/All_Cropped\Mug\16.jpg,0.26678162813186646,03063599-n,coffee mug
40,Mug,../Image/All_Cropped\Mug\2.jpeg,0.1310921609401703,03063599-n,coffee mug
41,Mug,../Image/All_Cropped\Mug\3.jpg,0.004451637156307697,03063599-n,coffee mug
42,Mug,../Image/All_Cropped\Mug\4.jpg,0.021791556850075722,03063599-n,coffee mug
43,Mug,../Image/All_Cropped\Mug\5.jpg,0.049001313745975494,03063599-n,coffee mug
44,Mug,../Image/All_Cropped\Mug\6.jpg,0.1153770163655281,03063599-n,coffee mug
45,Mug,../Image/All_Cropped\Mug\7.jpg,0.23521371185779572,03063599-n,coffee mug
46,Mug,../Image/All_Cropped\Mug\8.jpg,0.09394955635070801,03063599-n,coffee mug
47,Mug,../Image/All_Cropped\Mug\9.jpeg,0.11160356551408768,03063599-n,coffee mug
48,Banana,../Image/All_Cropped\Banana\1.jpg,0.9619340300559998,07753592-n,banana
49,Banana,../Image/All_Cropped\Banana\10.jpg,0.39821648597717285,07753592-n,banana
50,Banana,../Image/All_Cropped\Banana\11.jpg,0.019475290551781654,07753592-n,banana
51,Banana,../Image/All_Cropped\Banana\12.jpg,0.00013510732969734818,07753592-n,banana
52,Banana,../Image/All_Cropped\Banana\13.jpg,0.1218273714184761,07753592-n,banana
53,Banana,../Image/All_Cropped\Banana\14.jpg,0.38007646799087524,07753592-n,banana
