,type,dir,id_labels,readable_labels
94,Plane,Image/All_Cropped\Plane\9.jpg,"{'02690373-n': 0.9511945843696594, '04592741-n': 0.036064162850379944, '04552348-n': 0.010456027463078499, '03773504-n': 0.0011404394172132015, '04266014-n': 0.0007547087734565139, '04008634-n': 0.0002368960704188794, '02749479-n': 1.7189420759677887e-05, '04090263-n': 1.3356783711060416e-05, '03532672-n': 1.2984663953830022e-05, '02687172-n': 9.185185263049789e-06}","{'airliner': 0.9511945843696594, 'wing': 0.036064162850379944, 'warplane': 0.010456027463078499, 'missile': 0.0011404394172132015, 'space shuttle': 0.0007547087734565139, 'projectile': 0.0002368960704188794, 'assault rifle': 1.7189420759677887e-05, 'rifle': 1.3356783711060416e-05, 'hook': 1.2984663953830022e-05, 'aircraft carrier': 9.185185263049789e-06}"
95,Lighthouse,Image/All_Cropped\Lighthouse\1.jpg,"{'02814860-n': 0.985273540019989, '02894605-n': 0.008859207853674889, '03095699-n': 0.004372179042547941, '04008634-n': 0.00047444322262890637, '03673027-n': 0.00029947765870019794, '03773504-n': 0.00028118514455854893, '03028079-n': 0.00011563766747713089, '02687172-n': 8.148410415742546e-05, '03781244-n': 5.939282345934771e-05, '03126707-n': 3.068570003961213e-05}","{'beacon': 0.985273540019989, 'breakwater': 0.008859207853674889, 'container ship': 0.004372179042547941, 'projectile': 0.00047444322262890637, 'liner': 0.00029947765870019794, 'missile': 0.00028118514455854893, 'church': 0.00011563766747713089, 'aircraft carrier': 8.148410415742546e-05, 'monastery': 5.939282345934771e-05, 'crane': 3.068570003961213e-05}"
96,Lighthouse,Image/All_Cropped\Lighthouse\10.jpg,"{'02814860-n': 0.8341947197914124, '02894605-n': 0.1272011399269104, '02980441-n': 0.030188092961907387, '03028079-n': 0.00330360303632915, '02825657-n': 0.002348060952499509, '03781244-n': 0.00043192782322876155, '04606251-n': 0.00030503972084261477, '03903868-n': 0.0001867414393927902, '02843684-n': 0.00016516551841050386, '03877845-n': 0.0001466863468522206}","{'beacon': 0.8341947197914124, 'breakwater': 0.1272011399269104, 'castle': 0.030188092961907387, 'church': 0.00330360303632915, 'bell cote': 0.002348060952499509, 'monastery': 0.00043192782322876155, 'wreck': 0.00030503972084261477, 'pedestal': 0.0001867414393927902, 'birdhouse': 0.00016516551841050386, 'palace': 0.0001466863468522206}"
97,Lighthouse,Image/All_Cropped\Lighthouse\11.jpg,"{'02814860-n': 0.856989324092865, '02894605-n': 0.08560805022716522, '03781244-n': 0.01621345989406109, '03028079-n': 0.013255296275019646, '02825657-n': 0.012530595064163208, '04417672-n': 0.003914813976734877, '02980441-n': 0.002629234455525875, '02843684-n': 0.0020340317860245705, '09399592-n': 0.000805906078312546, '04435653-n': 0.0006917613791301847}","{'beacon': 0.856989324092865, 'breakwater': 0.08560805022716522, 'monastery': 0.01621345989406109, 'church': 0.013255296275019646, 'bell cote': 0.012530595064163208, 'thatch': 0.003914813976734877, 'castle': 0.002629234455525875, 'birdhouse': 0.0020340317860245705, 'promontory': 0.000805906078312546, 'tile roof': 0.0006917613791301847}"
98,Lighthouse,Image/All_Cropped\Lighthouse\12.jpg,"{'02814860-n': 0.9644168615341187, '03773504-n': 0.010786720551550388, '03903868-n': 0.00420515239238739, '04008634-n': 0.003603181568905711, '04557648-n': 0.0016960499342530966, '01582220-n': 0.0009702480747364461, '03976657-n': 0.000902281142771244, '04458633-n': 0.000807835953310132, '03743016-n': 0.0006784112774766982, '02825657-n': 0.0006204782985150814}","{'beacon': 0.9644168615341187, 'missile': 0.010786720551550388, 'pedestal': 0.00420515239238739, 'projectile': 0.003603181568905711, 'water bottle': 0.0016960499342530966, 'magpie': 0.0009702480747364461, 'pole': 0.000902281142771244, 'totem pole': 0.000807835953310132, 'megalith': 0.0006784112774766982, 'bell cote': 0.0006204782985150814}"
99,Lighthouse,Image/All_Cropped\Lighthouse\13.jpg,"{'03216828-n': 0.36942777037620544, '03240683-n': 0.1205393522977829, '04347754-n': 0.09615278244018555, '03344393-n': 0.08881931006908417, '03095699-n': 0.058874912559986115, '03662601-n': 0.0587308444082737, '02814860-n': 0.04644162580370903, '03947888-n': 0.04350078105926514, '02687172-n': 0.021077632904052734, '02894605-n': 0.01578233763575554}","{'dock': 0.36942777037620544, 'drilling platform': 0.1205393522977829, 'submarine': 0.09615278244018555, 'fireboat': 0.08881931006908417, 'container ship': 0.058874912559986115, 'lifeboat': 0.0587308444082737, 'beacon': 0.04644162580370903, 'pirate': 0.04350078105926514, 'aircraft carrier': 0.021077632904052734, 'breakwater': 0.01578233763575554}"
100,Lighthouse,Image/All_Cropped\Lighthouse\14.jpg,"{'02825657-n': 0.37962400913238525, '02894605-n': 0.14679169654846191, '03240683-n': 0.08439119160175323, '03095699-n': 0.08221948891878128, '03877845-n': 0.05911123752593994, '02814860-n': 0.053522318601608276, '04562935-n': 0.02882978692650795, '04347754-n': 0.024759456515312195, '03126707-n': 0.01727195270359516, '03216828-n': 0.011544894427061081}","{'bell cote': 0.37962400913238525, 'breakwater': 0.14679169654846191, 'drilling platform': 0.08439119160175323, 'container ship': 0.08221948891878128, 'palace': 0.05911123752593994, 'beacon': 0.053522318601608276, 'water tower': 0.02882978692650795, 'submarine': 0.024759456515312195, 'crane': 0.01727195270359516, 'dock': 0.011544894427061081}"
101,Lighthouse,Image/All_Cropped\Lighthouse\15.jpg,"{'03930313-n': 0.4419400095939636, '02814860-n': 0.23947426676750183, '03220513-n': 0.2378387600183487, '04435653-n': 0.0157831609249115, '03028079-n': 0.012203378602862358, '04562935-n': 0.011948732659220695, '03877845-n': 0.009342905133962631, '03355925-n': 0.009311203844845295, '03781244-n': 0.0074267820455133915, '03788195-n': 0.0024890033528208733}","{'picket fence': 0.4419400095939636, 'beacon': 0.23947426676750183, 'dome': 0.2378387600183487, 'tile roof': 0.0157831609249115, 'church': 0.012203378602862358, 'water tower': 0.011948732659220695, 'palace': 0.009342905133962631, 'flagpole': 0.009311203844845295, 'monastery': 0.0074267820455133915, 'mosque': 0.0024890033528208733}"
102,Lighthouse,Image/All_Cropped\Lighthouse\16.jpg,"{'04458633-n': 0.9002289772033691, '03733131-n': 0.03298557922244072, '03976657-n': 0.02636474370956421, '03903868-n': 0.011859665624797344, '02708093-n': 0.004116162657737732, '04483307-n': 0.00371606950648129, '03888257-n': 0.0020002787932753563, '03126707-n': 0.001472772448323667, '02692877-n': 0.0014328924007713795, '03388043-n': 0.0013933320296928287}","{'totem pole': 0.9002289772033691, 'maypole': 0.03298557922244072, 'pole': 0.02636474370956421, 'pedestal': 0.011859665624797344, 'analog clock': 0.004116162657737732, 'trimaran': 0.00371606950648129, 'parachute': 0.0020002787932753563, 'crane': 0.001472772448323667, 'airship': 0.0014328924007713795, 'fountain': 0.0013933320296928287}"
103,Lighthouse,Image/All_Cropped\Lighthouse\2.jpg,"{'02814860-n': 0.956823468208313, '02894605-n': 0.029683368280529976, '02980441-n': 0.009196039289236069, '03028079-n': 0.0009600805933587253, '04347754-n': 0.000548758078366518, '09332890-n': 0.00036266024108044803, '03781244-n': 0.00035457187914289534, '09399592-n': 0.0003062865580432117, '04417672-n': 0.0001673927326919511, '02825657-n': 0.00016289108316414058}","{'beacon': 0.956823468208313, 'breakwater': 0.029683368280529976, 'castle': 0.009196039289236069, 'church': 0.0009600805933587253, 'submarine': 0.000548758078366518, 'lakeside': 0.00036266024108044803, 'monastery': 0.00035457187914289534, 'promontory': 0.0003062865580432117, 'thatch': 0.0001673927326919511, 'bell cote': 0.00016289108316414058}"
